gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,112,5120,2880,torch.float8_e4m3fn,ck,75,0,26.2327,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,125.91,618.12,0.0
gfx950,256,128,5120,2880,torch.float8_e4m3fn,ck,75,0,25.8447,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,146.06,635.53,0.0
gfx950,256,256,5120,2880,torch.float8_e4m3fn,ck,71,0,28.7212,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,262.86,630.35,0.0
gfx950,256,512,5120,2880,torch.float8_e4m3fn,ck,72,0,29.0642,a8w8_bpreshuffle_256x64x256x64_16x16_16x16_4x64x1_4x64x1_1x16x1x16_8x8x1_1x2_intrawave_v1,519.52,738.47,0.0
gfx950,256,1024,5120,2880,torch.float8_e4m3fn,ck,71,0,37.5299,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,804.66,750.88,0.0
gfx950,256,2048,5120,2880,torch.float8_e4m3fn,ck,71,0,58.7548,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1027.97,708.29,0.0
gfx950,256,4096,5120,2880,torch.float8_e4m3fn,ck,72,0,96.8795,a8w8_bpreshuffle_256x64x256x64_16x16_16x16_4x64x1_4x64x1_1x16x1x16_8x8x1_1x2_intrawave_v1,1246.87,706.91,0.0
gfx950,256,8192,5120,2880,torch.float8_e4m3fn,ck,71,0,169.2051,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1427.81,722.35,0.0
gfx950,256,16384,5120,2880,torch.float8_e4m3fn,ck,71,0,318.8035,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1515.62,720.52,0.0
gfx950,256,32768,5120,2880,torch.float8_e4m3fn,ck,71,0,625.1325,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1545.86,711.31,0.0
